customer_code,customer_name,province_name,region,rfm_segment,recency_days,frequency,monetary,value_score,p_order_next_30d,churn_risk_score,purchase_trend_score,marketing_priority_score,risk_segment,recommended_action,model_name,snapshot_cutoff_date,run_timestamp
KH-00029,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Bình Thuận,Miền Trung,Lost,439,1,4055556.0,0.06390977443609022,0.041223273,0.9587767,23.75144929256083,0.9748145281020508,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,Bắc Giang,Miền Bắc,At Risk,61,2,1366346297.0,0.9962406015037594,0.12546483,0.8745352,41.48555382940023,29.410661724685383,Win-back priority,"Urgent win-back: gọi trực tiếp, ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00031,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,Hà Nội,Miền Bắc,Lost,439,1,4907408.0,0.08020050125313283,0.016850056,0.98314995,23.75144929256083,1.1225503678678523,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00032,HỘ KINH DOANH CHI THÀNH,Hà Nội,Miền Bắc,Lost,439,1,1935185.0,0.002506265664160401,0.09763028,0.90236974,25.834782625894164,0.2870839938342715,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00033,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,Hà Nội,Miền Bắc,Lost,438,1,11064815.0,0.11215538847117794,0.028274305,0.9717257,21.0729104310063,1.636249309896458,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00034,CÔNG TY TNHH BÌNH MINH,Đà Nẵng,Miền Trung,At Risk,404,2,32750000.0,0.2882205513784461,0.010760614,0.9892394,18.336487906901052,9.994040253417968,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,Đà Nẵng,Miền Trung,At Risk,368,4,63200000.0,0.5150375939849624,0.009415102,0.9905849,17.97871874579445,17.877929248327202,High churn risk,Decline intervention: kiểm tra nguyên nhân giảm mua,XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00384,CỬA HÀNG XE ĐẠP PHÚC AN,Hải Phòng,Miền Bắc,Loyal,13,4,142479975.0,0.7756892230576441,0.9194998,0.080500185,73.26806885937096,53.0774431269116,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Hà Nội,Miền Bắc,At Risk,417,3,46324073.0,0.40977443609022557,0.109241724,0.8907583,20.280140854432325,15.17037440205515,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00037,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Hà Nội,Miền Bắc,Lost,435,1,3879630.0,0.06140350877192982,0.017664963,0.98233503,25.834917350985194,0.8529140958397746,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,Thái Nguyên,Miền Bắc,At Risk,403,2,106679035.0,0.6904761904761905,0.010320776,0.9896792,17.7873163690024,24.024489922399912,High churn risk,Decline intervention: kiểm tra nguyên nhân giảm mua,XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,Kiên Giang,Miền Nam,At Risk,70,2,214953705.0,0.8609022556390977,0.15658243,0.8434176,36.20071523825551,28.096092251815396,Win-back priority,"Urgent win-back: gọi trực tiếp, ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00040,CÔNG TY TNHH VẠN LỢI,Nghệ An,Miền Trung,At Risk,367,3,293400000.0,0.9022556390977443,0.19331409,0.8066859,17.658693544561388,35.408931308526796,Win-back priority,"Urgent win-back: gọi trực tiếp, ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00041,CỬA HÀNG XE ĐẠP ĐÔNG NAM,Thanh Hóa,Miền Trung,Lost,433,1,11064815.0,0.11215538847117794,0.028274305,0.9717257,21.073084577763883,1.6362464809141855,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,Loyal,15,11,313552605.0,0.9097744360902256,0.8391708,0.16082919,73.58828736143032,55.26754669988472,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00043,CÔNG TY TNHH LONG PHÚ,Đà Nẵng,Miền Trung,At Risk,404,3,30650000.0,0.2769423558897243,0.026268775,0.9737312,18.396011716424862,9.751317790979176,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,Quảng Nam,Miền Trung,Potential,15,3,100591187.0,0.6741854636591479,0.63774836,0.36225164,77.81943817789448,31.17003922850032,Monitor,"Nurturing: khuyến mãi lần mua tiếp theo, cross-sell",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00045,CÔNG TY TNHH AN PHÁT,Quảng Nam,Miền Trung,Lost,432,1,18111112.0,0.17293233082706766,0.052025136,0.94797486,21.66835988507894,2.562392498638356,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Quảng Bình,Miền Trung,Loyal,14,5,529289495.0,0.9586466165413534,0.88904876,0.110951245,74.49508175534342,60.43041421298384,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00047,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,Vĩnh Phúc,Miền Bắc,Lost,420,1,36180000.0,0.3383458646616541,0.009384049,0.99061596,18.283460674716494,4.881670846834241,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00048,CÔNG TY TNHH THUỶ TIÊN,Hà Nội,Miền Bắc,Potential,0,5,26574074.0,0.2543859649122807,0.2637206,0.73627937,77.49999868384417,8.58155694211672,High churn risk,"Nurturing: khuyến mãi lần mua tiếp theo, cross-sell",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,Bắc Ninh,Miền Bắc,Loyal,19,7,157368957.0,0.7969924812030075,0.9139477,0.0860523,62.67313632781067,51.899977501228975,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00050,CÔNG TY TNHH AN PHÁT,Hải Dương,Miền Bắc,Lost,417,1,2305556.0,0.013157894736842105,0.048379213,0.9516208,25.83569640998788,0.3018250642097634,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00051,CÔNG TY CỔ PHẦN KHẢI HOÀN,Hưng Yên,Miền Bắc,Lost,417,1,4611111.0,0.07393483709273183,0.045064386,0.9549356,23.752363076654547,1.1240843979437232,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00052,DOANH NGHIỆP TW TÂN TIẾN,Hải Dương,Miền Bắc,Lost,417,1,2212963.0,0.007518796992481203,0.052430075,0.9475699,25.83569640998788,0.23679473842658835,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00053,CÔNG TY TNHH TRƯỜNG THỊNH,Hà Nội,Miền Bắc,Lost,417,1,3694444.0,0.05889724310776942,0.017664963,0.98233503,25.83569640998788,0.8199575102809515,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,Big Spender,371,8,550630000.0,0.9611528822055138,0.009412469,0.99058753,17.559986654243193,34.8902953974175,Win-back priority,"Account care: duy trì quan hệ, không ép tần suất, nhắc chu kỳ đặt hàng lớn",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00054,HỘ KINH DOANH TRÍ ĐỨC,Hà Nội,Miền Bắc,Lost,414,1,2398148.0,0.021929824561403508,0.026302319,0.97369766,25.835859318379256,0.35806737157200225,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00055,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,Đắk Lắk,Miền Trung,Lost,414,1,4983333.0,0.08270676691729323,0.016850056,0.98314995,23.752525985045928,1.156365893558171,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,Hà Nam,Miền Bắc,Lost,414,1,33090000.0,0.2894736842105263,0.012986848,0.98701316,18.283775985045928,4.194142176363111,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,Big Spender,367,5,563575152.0,0.9649122807017544,0.037412062,0.96258795,17.557078592647034,35.69594826253267,Win-back priority,"Account care: duy trì quan hệ, không ép tần suất, nhắc chu kỳ đặt hàng lớn",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00058,DOANH NGHIỆP TW SÁN LẠP,Hải Dương,Miền Bắc,Lost,414,1,24000000.0,0.2324561403508772,0.014893604,0.9851064,18.638889621409565,3.366119042864664,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00059,CÔNG TY TNHH TRÍ ĐỨC,Hải Dương,Miền Bắc,At Risk,414,1,48680000.0,0.43107769423558895,0.012399634,0.9876004,18.070707803227744,14.99200206332694,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00060,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Hà Nam,Miền Bắc,Lost,414,1,25550000.0,0.24812030075187969,0.014893604,0.9851064,18.589482506785057,3.5931156225710748,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00134,DOANH NGHIỆP TW PHÚ THỊNH,Quảng Nam,Miền Trung,Loyal,11,12,984310817.0,0.9899749373433584,0.84230566,0.15769434,69.60250259887647,58.54649296276294,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00061,HỘ KINH DOANH THUỶ TIÊN,Hòa Bình,Miền Bắc,Lost,414,1,13730000.0,0.12656641604010024,0.01382912,0.9861709,19.58585931837926,1.8229389293426217,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,Lạng Sơn,Miền Bắc,At Risk,365,2,119540000.0,0.7255639097744361,0.006222239,0.99377775,17.741149488532308,25.181611028651663,Win-back priority,"Urgent win-back: gọi trực tiếp, ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,Hà Nội,Miền Bắc,Lost,414,1,34390000.0,0.3082706766917293,0.009083574,0.99091643,18.283775985045928,4.4479441514731395,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00063,HỘ KINH DOANH VẠN LỢI,Bắc Giang,Miền Bắc,At Risk,368,2,51715148.0,0.44862155388471175,0.015035002,0.984965,18.340353965920237,15.585473129632893,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00064,CÔNG TY TNHH SƠN HÀ,Hải Dương,Miền Bắc,Big Spender,368,6,363062500.0,0.9273182957393483,0.014790325,0.9852097,17.592637070943066,33.77486856096757,Win-back priority,"Account care: duy trì quan hệ, không ép tần suất, nhắc chu kỳ đặt hàng lớn",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,Hà Nội,Miền Bắc,Big Spender,64,7,367627614.0,0.931077694235589,0.049650323,0.9503497,36.722867432438086,27.552113377992665,Win-back priority,"Account care: duy trì quan hệ, không ép tần suất, nhắc chu kỳ đặt hàng lớn",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,Big Spender,365,9,213946302.0,0.8596491228070176,0.012189316,0.9878107,17.652853465928526,31.23617521693931,Win-back priority,"Account care: duy trì quan hệ, không ép tần suất, nhắc chu kỳ đặt hàng lớn",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,Vĩnh Phúc,Miền Bắc,At Risk,378,3,48010000.0,0.42606516290726815,0.08770015,0.9122999,17.93665616586309,15.792435590817105,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00069,CÔNG TY TNHH MINH PHƯƠNG,Hà Nội,Miền Bắc,At Risk,83,3,16611111.0,0.14661654135338345,0.080320776,0.9196792,35.82782842814317,4.96083048341763,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00070,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,Lost,411,1,8851852.0,0.09899749373433583,0.040416736,0.9595833,21.669366790862792,1.4798031149211501,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00071,CỬA HÀNG XE ĐẠP BÌNH MINH,Hà Nội,Miền Bắc,Lost,410,1,3509259.0,0.05576441102756892,0.017664963,0.98233503,25.83609413195276,0.7787672274174838,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00072,DOANH NGHIỆP TW PHÚC AN,Hà Tĩnh,Miền Trung,Potential,6,2,16061109.0,0.13909774436090225,0.497686,0.502314,77.43702389610078,11.374851652303299,Monitor,"Nurturing: khuyến mãi lần mua tiếp theo, cross-sell",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,Thanh Hóa,Miền Trung,At Risk,365,2,62612500.0,0.5137844611528822,0.007223097,0.99277693,18.01770871035188,17.794767466159804,High churn risk,Decline intervention: kiểm tra nguyên nhân giảm mua,XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Hòa Bình,Miền Bắc,Potential,25,4,49748603.0,0.43734335839599,0.50637764,0.49362236,68.07901175158547,19.272391704730595,Monitor,"Nurturing: khuyến mãi lần mua tiếp theo, cross-sell",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Bắc Giang,Miền Bắc,Champions,6,11,1171219711.0,0.9924812030075187,0.91079164,0.089208364,71.32941010308551,68.19894513647162,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,Hà Nội,Miền Bắc,Lost,410,1,35020000.0,0.3182957393483709,0.007501494,0.9924985,18.284010798619427,4.585018126671427,High churn risk,"Low-cost nurture: giữ liên hệ chi phí thấp, không ưu tiên sales trực tiếp",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00089,HỘ KINH DOANH TOÀN THẮNG,Nghệ An,Miền Trung,At Risk,410,1,138392643.0,0.7606516290726817,0.027872685,0.9721273,17.71643601229464,26.818120981992,Win-back priority,"Urgent win-back: gọi trực tiếp, ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,Big Spender,59,17,301886045.0,0.9047619047619048,0.03351712,0.9664829,27.292113894693053,29.750045449619705,Win-back priority,"Account care: duy trì quan hệ, không ép tần suất, nhắc chu kỳ đặt hàng lớn",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00079,CÔNG TY TNHH ĐÔNG NAM,Bắc Giang,Miền Bắc,Champions,6,8,259679353.0,0.8872180451127819,0.8895671,0.11043292,65.1351858327386,60.37477173317731,Growth opportunity,"Protect & upsell: chăm sóc VIP, gợi ý nhóm sản phẩm bổ sung",XGBoost,2026-03-31,2026-05-28 15:49:22
KH-00080,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,At Risk,410,1,60020000.0,0.4974937343358396,0.007465638,0.99253434,17.983530029388657,17.241969496686067,High churn risk,"Retention call: liên hệ kiểm tra nhu cầu, đề xuất ưu đãi giữ chân",XGBoost,2026-03-31,2026-05-28 15:49:22
